Date, Close/Last, Volume, Open, High, Low
02/26/2020, 3110.2, 306, 3098.3, 3101.5, 3098.3
02/25/2020, 3132.6, 119, 3221.3, 3255, 3135.2
02/24/2020, 3226.3, 210, 3305.8, 3305.8, 3224
02/21/2020, 3339.3, 101, 3357.6, 3362.2, 3354.4
02/20/2020, 3369.2, 5, 3394.9, 3394.9, 3381.5
02/19/2020, 3387.2, 35, 3378.4, 3379.2, 3375.6
02/18/2020, 3369.3, 84, 3375.1, 3389.3, 3363
02/14/2020, 3380.9, 43, 3378.2, 3386, 3373.1
02/13/2020, 3377.4, 64, 3382, 3382, 3352.3
02/12/2020, 3380.5, 27, 3360.9, 3372, 3359.6
02/11/2020, 3357.6, 53, 3352, 3365, 3352
02/10/2020, 3353, 62, 3321.1, 3352.6, 3305.8
02/07/2020, 3325.5, 69, 3340.9, 3343.1, 3327
02/06/2020, 3345.2, 16, 3343.4, 3352, 3343.4
02/05/2020, 3335, 22, 3292.5, 3327, 3292.5
02/04/2020, 3299.5, 113, 3239.1, 3287.5, 3239.1
02/03/2020, 3245.6, 62, 3231.6, 3247.4, 3230.3
01/31/2020, 3224, 193, 3288.8, 3291.7, 3227
01/30/2020, 3289.7, 34, 3268.5, 3293, 3245.3
01/29/2020, 3272.4, 70, 3274.8, 3292.5, 3274.8
01/28/2020, 3278.3, 61, 3245, 3279.9, 3245
01/27/2020, 3239.6, 348, 3260, 3266.2, 3237
01/24/2020, 3293.5, 21, 3335.3, 3335.3, 3292.3
01/23/2020, 3326, 57, 3317.2, 3320.4, 3315
01/22/2020, 3319.8, 12, 3332.4, 3334.3, 3332
01/21/2020, 3319.5, 50, 3313, 3326.1, 3312
01/17/2020, 3324.9, 49, 3323, 3326, 3322.8
01/16/2020, 3316.4, 8, 3299.1, 3304, 3298.5
01/15/2020, 3293.8, 24, 3280.2, 3287, 3280.2
01/14/2020, 3287.9, 1, 3279, 3279, 3279
01/13/2020, 3289.7, 4, 3273.8, 3275, 3273.8
01/10/2020, 3264.7, 39, 3282.2, 3286.1, 3263.9
01/09/2020, 3275.9, 13, 3263.9, 3271.7, 3263.9
01/08/2020, 3260.2, 90, 3221.7, 3243.2, 3183.7
01/07/2020, 3235.3, 36, 3249.7, 3249.7, 3232.2
01/06/2020, 3243.6, 28, 3217.5, 3229.2, 3210.3
01/03/2020, 3235.4, 86, 3249, 3249, 3208.9
01/02/2020, 3259, 21, 3243.3, 3249.3, 3243.1
12/31/2019, 3231.1, 1, 3224.4, 3224.4, 3224.4
12/30/2019, 3223.4, 12, 3241.9, 3242.6, 3237.7
12/27/2019, 3237.6, 7, 3249.2, 3253.5, 3249.2
12/26/2019, 3244.4, N/A, 3244.4, 3244.4, 3244.4
12/24/2019, 3225.7, 5, 3229.8, 3229.8, 3229.8
12/23/2019, 3227.2, 10, 3227.7, 3232.3, 3227.7
12/20/2019, 3225.7, 5, 3211.5, 3216.5, 3208.9
12/19/2019, 3211.7, 11, 3198.6, 3201.2, 3195
12/18/2019, 3199.3, 15, 3196.9, 3199, 3196.9
12/17/2019, 3195.4, 21, 3198.2, 3201.2, 3194
12/16/2019, 3198.4, 1, 3183.7, 3183.7, 3183.7
12/13/2019, 3175.2, 49, 3181.1, 3186.7, 3165.9
12/12/2019, 3167.9, 6, 3146.7, 3146.7, 3139.4
12/11/2019, 3143.1, 13, 3133.8, 3141.9, 3133.5
12/10/2019, 3136, 8, 3122.8, 3138.4, 3122.4
12/09/2019, 3134.5, 12, 3143.8, 3143.9, 3142.5
12/06/2019, 3146.1, 42, 3125, 3138.6, 3124.3
12/05/2019, 3117.7, 13, 3116.1, 3123.7, 3116.1
12/04/2019, 3111.1, 20, 3084, 3108, 3082.9
12/03/2019, 3091.1, 63, 3115.3, 3120, 3086.3
12/02/2019, 3114.2, 8, 3146.3, 3150, 3144
11/29/2019, 3143.7, 38, 3146.4, 3153.6, 3141.8
11/27/2019, 3153.8, 21, 3144.9, 3150.5, 3144.9
11/26/2019, 3143.7, 34, 3144.1, 3144.1, 3132.2
11/25/2019, 3132.7, 12, 3116, 3118.7, 3116
11/22/2019, 3111.6, 12, 3114, 3114, 3105.8
11/21/2019, 3103.9, 86, 3100.2, 3114, 3093
11/20/2019, 3109, 29, 3112, 3114, 3106
11/19/2019, 3118.5, 25, 3117.5, 3132, 3117.5
